paragraph,human generated title
"Design and monitoring framework. Some of the expected performance targets and  indicators formulated in the DMF were aligned more with the overall investment program, and a  separate DMF for the project was not prepared. Apart from the DMF for the MFF, a DMF should  be prepared for each tranche under the MFF, which should be distinct, specific, and directly  attributable to the respective tranche so that its achievement against the project-specific  indicators and targets can be suitably evaluated.",MFF Project processing including DMF development  
"Ensure high due diligence of associated facilities. Due diligence of associated  facilities, funded by the private sector and other agencies, and identification of the likely risks and  their proper mitigation are critical to the success of the projects. Appropriate agreements on the  use of facilities, and the risk-sharing and guaranteed revenue mechanism with beneficiaries and  end-users must be ensured at the project appraisal stage and before the financing commitment.",Ensure high due diligence of associated facilities. 
"Ensure the implementation period is realistic. The project implementation plan should  be realistic. Sufficient time for project readiness, such as the environmental and social  preparation, and for buy-ins from the local communities and stakeholders should be factored in.  Other issues such as, procurement capacity of the entities need to be properly assessed and  factored.",Ensure realistic implementation period
"MFF success and impediments factors. ADB should undertake a thematic study on  barriers to MFF implementation and enabling environment, so that member countries can be  advised on the suitability of MFF for development intervention. Such evaluation can provide cross  learning on key barriers to MFF approach, and the ways to mitigate them with innovative solutions.",MFF success and impediments factors need to be evaluated. 
"The following major lessons emerged from the project:   (i) Although activities for disseminating the sustainable reservoir rehabilitation and 22  The methodology is provided in ADB. 2Guidelines for the Evaluation of Public Sector Operations. Manila. management models established under the loan and associated TA were actively  conducted and continue to be conducted, replication of the models beyond  Shandong is beyond the project's control; it can be lengthy, and depends on  decisions by other governments. (ii) Effective use of advance contracting and retroactive financing ensured efficient  project implementation and helped enable all project activities to be completed by  the original loan closing date. (iii) The main reason the contract price is lower than the engineering estimate is  inaccuracies in the engineering cost estimate. (iv) The initial imprest account ceiling was set at 10% of the approved loan amount;  this proved insufficient for a project that effectively used advance contracting and  retroactive financing, and was increased to 15% of the approved loan amount. (v) Public participation should have been strengthened by involving more local people  who lived in low density areas around the subproject sites, far from communities. (vi) The establishment of a good and workable grievance redress procedure is  important in resolving grievances. (vii) Dialogue and consultation with affected persons helps in resolving grievances.  (viii) Smooth LAR implementation benefits from careful preparation of resettlement plans during project preparation, including clear definition of land ownership,  strong coordination between project preparation consultants and executing and  implementing agencies, and understanding of resettlement plans by executing and  implementing agencies before ADB approval of the resettlement plans.","Project planning, management and due diligence.  "
"Covenants and conditions in the loan agreement and the project agreement. The  project should avoid conditions and covenants that cannot be measured, monitored and  managed. They should be properly monitored and managed by keeping at a manageable number.",Covenants and conditions in the loan agreement and the project agreement. 
"Key lessons derived from the project design, implementation and completion: (i) Successful implementation of infrastructure project requires adequate social  preparation and continued engagement with the local communities. The project  was successful in engaging with local communities and address their immediate  needs with social infrastructure and support services. This helped gain their trust  and buy-in for the project. (ii) Since the MFF will be executed in 10 years, adequate institutional capacity within  the executing and implementing agencies is required. It was premature for a new  state with weak capacity. Other financing options would have been more  appropriate. (iii) Uttarakhand being a special category state, 90% of the central government  external debt fund is passed on to the project as a grant. However, the CERC Tariff  Regulation does not allow its return, interest, and depreciation in the revenue  calculation. While grant funding may benefit end-users due to a lower tariff, it may  not be an appropriate funding model for a revenue-earning agency like PTCUL. (iv) The project DMF had indicated a risk factor in achieving the project outcome  should the hydro projects not be completed on time. However, the risk mitigation  measures were not adequately planned. (v) Core functions of UED are administrative in nature; its priority and focus are mostly  on policy formulation and regulation of energy sector for the state. UED did not  have adequate project management and engineering staff. Hence, for UED, the  role as a project executing agency was conflicting and therefore, it was less  effective. The PMO also could not contribute effectively except as a role of the  secretariat. (vi) The second component of the project on institutional strengthening did not have a  need-based framework for capacity development in the project design stage. For  capacity development, the project could have benefitted from establishing cross- learning processes in project management, technical competency, and social  engineering among PTCUL, UJVNL and UED with other utilities. In the absence of  strong PMO and UED's ownership, the mid-term review of late 2012 also could not  help in developing such cross-learning framework.",Selection of financing modality and institutional capacity strengthening
"Lessons learned bear out the same lessons from earlier policy-based programs: (i) build  on ownership for reform; (ii) build on existing efforts; (iii) accommodate evolving policy dialogue; (iv) carefully time the intervention; (v) employ participation and build consensus; (vi) incorporate  the need for capacity and institutional development; (vii) keep the design simple and allow for  flexibility in the design; (viii) sequence reforms; and (ix) monitor progress (footnote 7). One further  lesson, given the experience of this program, is for ADB to stay fully engaged with the program  of reforms, whether or not program funds are scheduled to be disbursed in a particular year. All  future policy-based programs should be directed to consider these lessons in program design. In  retrospect, a stand-alone policy-based grant and loan would have been preferable to a  programmatic approach.",Scaling reforms through policy based lending 
"Information needs and analysis. Major project decisions were made without sufficient  data and analysis, such as shifting from rehabilitation to maintenance after the midterm review  without any business case or economic assessment. The Sustainable Transport Infrastructure  Improvement Program would benefit from a more rigorous understanding of assumptions,  benefits, and costs. Preparation for larger projects requires greater support from development  partners to minimize cost overruns, delays, and other hurdles such as land.38",Evidence based project decision making 
"Long-term approach. Consistent with the lessons from recent projects (footnote 7),  achieving a sector-based approach as a focal point for funding and donor coordination is a long- term journey. The project built a solid foundation for further progress in developing a  programmatic, results-based approach. Sequencing for the Sustainable Transport Infrastructure  Improvement Program should ensure an early focus on sustaining government ownership,  institutionalizing effective asset management, and improving the quality of civil works.",Result-based approach for transport projects
"Incentivizing efficiency. The time-based nature of contracts used for the CPIU  consultant did not provide any incentives for quality delivery. Further, there were no specific  incentives to encourage the government to meet its obligations, particularly in recruiting critical  roles and contributing funding to the NTF as planned. While the Sustainable Transport  Infrastructure Improvement Program has adopted results-based lending, program implementation  remains challenging, with several of the DLIs not met in 2Ongoing support for the results- based approach will be required.",Contracting type and incentives scheme in the transport sector
"The Tianjin IGCC demonstration project is the first of its kind not only in the PRC, but in  any developing member country. Valuable lessons can be shared with other developing member  countries that are contemplating such projects. Comparison of international experiences with that  of the PRC as well as valuable lessons learned in the development of IGCC technology are well  documented in the knowledge products funded by the grant. Importantly, a roadmap for CCS  technology was also prepared in parallel with the project's implementation, which lends this  project and the IGCC technology in an advantageous position for future application of the CCS at  this plant to reduce its carbon foot prints.29 Continuing collaboration with industry leaders, policy  makers and experts through exchange of information can pave the way for larger replication of  the IGCC power plants throughout the PRC. 29 The roadmap for CCS demonstration and deployment in the PRC (ADB. 2Roadmap for Carbon Capture and Storage Demonstration and Deployment. Manila.) was jointly prepared by ADB and NDRC's Department of Climate  Change, which is spearheading CCS commercial development in the PRC. It was jointly launched in a high-level  side event at the Community of Practice (COP) 21 meetings in Paris. CCS is included as an important technology in  PRC's nationally determined contributions under the Paris Agreement.",Collaboration across stakeholders in the energy project
"Obtaining assistance from international and national experts in the field is helpful. The  grant-funded consultants conducted technical studies that identified areas of improvement in the  design and operating procedures, and the monitoring and control of plant performance  parameters. These supplemented the knowledge and observations of the plant operators and  maintenance personnel.",The role of experts
"The strong commitment and ownership of the project proponents is critical to the success  of a demonstration project that uses the latest technologies for the first time in a country.  Establishing a dedicated entity responsible for the review of the technical design, construction  and operation of the project facilities is a key success factor. Similarly, strong institutional support  is crucial to ensure the viability of a project with complex challenges.",Ownership and an institutional structure are critical elements for innovative projects.  
"Adoption of a relatively young technology that has yet to establish a robust performance  track record and achieve lower capital and operating costs, but offers significant improvement  potential in terms of lower CO2 capture costs, can be realized. Meticulous attention to technical  design, operating standards and associated costs can deliver commercial attractiveness and  competitiveness with other power generation technologies. As highlighted in the knowledge  products, the PRC is well positioned to benefit from economies of scale through limiting  production costs, and standardization. However, reaching the necessary performance  requirements for the plant is critical. Continuing research and improvements to enhance efficiency  and bring down O&M costs will be indispensable.",New technology offers great potential in the right circumstances. 
"The project modality and scope should be carefully considered during project preparation.  The simple stand-alone project loan modality is less advantageous when implementing a multi- component project that involves a wide range of subsectors and project proponents, unless the  executing agency has strong project management capacity. Given a sound development policy  and firm medium-term investment plan, a more flexible project modality—such as financial  intermediation and results-based lending—should be considered. Alternatively, the project scope  should be well focused to minimize the complexity of project management.","Stand alone projects are not well designed to deal with highly complex operations, and alternative modalities are preferred."
"Urban development plans should be carefully assessed in preparation of any district  heating project. The relevance and effectiveness of the district heating project design (heat source,  generation capacity, and transmission and distribution) depend entirely on urban zoning, which is  linked to commercial and public building construction planning, industrial complex development,  and population growth projections. 16 ADB. 2Report and Recommendation of the President to the Board of Directors: Proposed Loan to the People's Republic of China for Low Carbon District Heating Project in Huhhot in Inner Mongolia Autonomous Region (Loan  3218-PRC). Manila; ADB. 2Report and Recommendation of the President to the Board of Directors: Proposed  Loan to the People's Republic of China for Qingdao Smart Low Carbon District Energy (Loan 3358-PRC). Manila.",Design of district heating projects should always follow urban development plans
"Choice of project modality, scope, and implementation arrangements should be carefully  assessed and deliberately considered at project preparation. Project management faced  challenges beginning with initial implementation as the project comprised multiple  subcomponents scattered across many locations, resulting in a multilayered project  administrative structure. Combined with a requirement to conclude on-lending agreements  backed by stringent counter-guarantee arrangements across the PIAs and local governments, the  required coordination among relevant local government agencies was significant. It resulted in (i)  limited flexibility to respond to immediate implementation needs; and (ii) delays, which resulted in  advanced implementation of several subproject without the use of ADB loan financing. A flexible  approach that allowed individual subprojects to become effective when individual requirements  were met would have avoided this situation.",Complex projects should use appropriate flexible financing modalities to reduce implementation inefficiencies and delays.
"Urban development plans should be thoroughly reviewed and assessed to identify  potential risks at project preparation and thereby minimize subsequent changes in scope, and  attendant implementation delays. The district heating subproject faced a change in heat source  location, which affected both the original scope of works and implementation schedule. It was  caused by the limited coordination between the urban development plan and heating supply  investment planning. Heating reforms are expected to include tightened integration of district  heating investment and urban development planning.",Due diligence of urban development plans is essential to avoid costly changes during implementation.
"A strong project steering committee with close coordination across relevant local  government agencies is essential for smooth project implementation. The project structure—with  multiple subcomponents in scattered locations and a multi-layer project administrative structure— required strong leadership of the project leading group, which served to guide project  implementation.",Strong project leaders are essential to implement complex projects successfully.
Constraints in capacity requirements can also be addressed through a phased approach  in implementing the various components. There were many components being simultaneously  implemented. Better sequencing may have improved implementation by allowing the personnel  implementing and supervising the works to focus on fewer components. Supervision in remote  sites like Dagana should be ensured; ADB supervision also needs to be better planned in this  regard. Higher levels of supervision resulted in better infrastructure quality in Thimphu and  Phuentsholing compared with Dagana.,Sequencing components and supervision are important
"The project correctly identified the capacity requirements. Projects need to ensure that  capacity building programs designed and agreed upon during project preparation are  implemented. While there may be changes in government policies regarding the use of loan funds,  clear agreements should be made that tie the financing of components to demonstration of  capacity or agreement with government to provide sufficient consulting services, particularly for  construction supervision.",Agreements tying financing to capacity building and consulting services are important
"With respect to implementation, a clear assessment of the business enabling environment  and the private sector's willingness to participate in the investment program should be identified  early during the implementation period. In case the results indicate a lack of support from the  state or the stakeholders, design adjustments should be immediately implemented and  restructuring of the design should be considered.",Stakeholder engagement in design
"The capacity building of the executing agency should be duly considered at the project  design. As the expensive irrigation structures are handed over to farmers who are less literate,  there must be sufficient training in O&M. Efficient water distribution and allocation practices should  be designed and implemented. The executing agency needs to establish a linkage between  irrigation service provided and collection of irrigation service fee in order to promote sustainability.  ADB and other funding agencies should consider introducing farm-level water management with  improved cultural practices to those projects that they financed earlier.","Title 1: EA capacity building

Title 2: Sustainability of irrigation service"
"With respect to implementation, a clear assessment of the business enabling environment  and the private sector's willingness to participate in the investment program should be identified  early during the implementation period. In case the results indicate a lack of support from the  state or the stakeholders, design adjustments should be immediately implemented and  restructuring of the design should be considered.",Stakeholder engagement in design
"The financial performance of the project entities is lower-than the projected for two  reasons: the lower capacity utilization due to reduced demand, and lower tariffs and prices for  outputs produced. A thorough survey and more accurate assessment of user demand are  essential during appraisal to ensure more realistic assumptions for supply and demand. If there  is a strong possibility that market conditions may change rapidly over the short to medium term,  a midterm review during project implementation may be useful to allow midterm corrective  measures.",A thorough survey and accurate user demand assessment during appraisal are essential to ensure realistic assumptions for supply and demand 
"Further Action or Follow-Up. ADB should continue its policy dialogue with the  Government to ensure timely implementation of the power sector reforms including selection of  a private sector concessionaire for the transmission company and promulgation of performance- based regulations, which will be essential to ensure the viability and sustainability of the  Interconnection.",Improved regulations for sustainability
Future highway projects should aim to include a feeder road component to maximize  poverty reduction benefits and regional economic development.,"Lesson 1 Feeder roads and poverty reduction

Lesson 2"
"The results of the prefeasibility study should be subject to further examination in the  feasibility study in complex engineering project. As the preliminary study of the Interconnection  conducted by NPC suggested one particular option, NPC was reluctant to include a comparative  study to examine alternatives in the Consultant's TOR, and ADB accepted this position. As a  result, the Project experienced some delays and additional costs when the recommendation of  the POE on the configuration of the Interconnection (para. 28) was adopted. ADB and EAs  should be cautious not to limit technical alternatives to a minimum number, and to make TORs  flexible enough to allow consultants to propose other alternatives that should benefit the  projects, especially in complex engineering studies.",Complex studies require flexible consultant TORs
"No vehicle weigh bridges and environmental equipment were procured because LPCD  decided to procure the equipment with its own resources upon completion of the Liaoning  expressways network through LPCD's own resources. However, the expressway was opened in  October 2000 and the expressways network is expected to be completed in 2002, and so the  equipment should have been installed as early as possible. The design and distribution of such  facilities should be determined well in advance, preferably before project implementation, so  that procurement and installation could be completed before the expressways are fully  operational.","If preparedness is weak at the design stage, associated facilities for safety and maintenance were not completed when roads were open to public.  "
"The project schedule developed at appraisal required all project contracts to be awarded  either before or immediately after grant approval and did not provide for an interval between grant  approval and grant effectivity. This was unrealistic. Furthermore, even though a grant covenant  required that the contractor shall not be allowed access to any section of the line route until all  resettlement issues were resolved, the project schedule made no provision for their resolution. In  an EPC contract—in which the contractor is responsible for design—the design approval,  resolution of resettlement issues, and construction are sequential activities, and this should be  provided in the project schedule. Project schedules should also incorporate realistic timeframes  for processing of contracts, and ideally provide some accommodation for inevitable delays.",Sequencing of project works 
"The project was completed without cost overrun and achieved its outputs in 6 years. The  main contributing factors were (i) strong government commitment; (ii) well-designed core  subprojects, including their demonstration impact to subsequent subprojects; (iii) suitable scope  of the subproject and efficient preparation; and (iv) timely counterpart funding from local  government.", Implementation efficiency
"Procurement and low bid prices. This has been observed as a growing phenomenon  across many ADB projects, as well as those funded by other donors, in the PRC. This  phenomenon is a result of many issues, including overestimating during bid preparation, price  analysis during bid evaluation, and low capacity of the implementing agency in contract  management. Most specifically, the cost estimate in the procurement plan is based on a feasibility  study report in the PRC, and the risk premium is always high in feasibility study report estimates.  More advance preparation will improve the accuracy of the cost estimates. While a recent  procurement reform in ADB should help address this situation,30 certain additional measures  should be considered to avoid further negative impacts on loan utilization. Such measures could  be related to more accurate bid preparations, including detailed designs and cost estimates, and  price analysis during bid evaluation. ADB and the PMO should make significant efforts to  strengthen the capacity of the implementing agency on procurement matters. Improvements in  the existing PRC's tracking system for sanctioned local bidders would also be essential for  addressing the problem. 30 The latest Procurement Regulations for ADB Borrowers refer to cases of abnormally low bids, where after careful examination, the borrower is given the option to reject the bid or request that the amount of the performance security  be increased at the expense of the bidder.",Accuracy of cost estimates
"Project extensions related to land acquisition and resettlement. Local governments  in the PRC are increasingly adopting a more cautious approach towards solving land acquisition  and resettlement issues. This has often led to extensions requests by the borrower in order to  complete the implementation of the project. When considering such type of extension requests,  ADB should undertake an extensive due diligence to assess whether the completion of the project  is achievable within the proposed extended timeline. This due diligence should not be just  undertaken by the project implementation consultants but also by an external specialist contracted  for this specific task.",Project implementation extension due to land acquisition
"Overall, the project was less than successful. 23  The project was implemented with  substantial delays and major changes in the financing plan, within project cost but with 69.3% of  ADB loan proceeds canceled. It was completed with a delay of over 4 years and required the  use of additional government resources. The total project cost was reduced because ADB and  the government did not extend the loan. The government has continuous ownership and  leadership of the Treasury's modernization, but has reduced its commitment to the PFM reform  timeline.",Government ownership in PFM reform
"PMO and executing agency staff need to improve their understanding of the agreed  timing, ADB's procurement guidelines, and government laws and regulations on procurement to  minimize any conflict between ADB guidelines and government requirements before starting  procurement. This includes involving the executing agency's bidding committee members early  in the project to avoid any possible conflict during procurement.",Early involvement of bidding committee members early
"One of the more significant issues was managing borrower expectations, particularly (i)  the time needed to complete the procurement process under ADB guidelines and (ii) the  expected versus the actual bid prices. Both issues caused distress between the donor and the  executing agency—expectations of the time needed to complete a transaction are often  unrealistic and bid prices are higher than expected—especially when the executing agency has  limited exposure to ADB procedures and to the prices of the goods and services proposed  under the project.",Unrealistic bid prices
"Land pooling proved to be a highly effective process for urban development. Financing an  untested and innovative approach clearly resulted in transformational impacts regarding how  urban areas are developed in the country. The key delay at start-up was corrected by starting  work in a subset of one local area where 100% agreement had already been achieved (para. 25).  Another lesson learned in land pooling is that proper sequencing of works can lead to better  outcomes. Initially, roads were finished in the areas under land pooling prior to private building  construction, which led to extensive road damage from movement of heavy vehicles (para. 17).", Transformations in urban area development
"Wherever possible, an irrigation development project should include basic agricultural  development activities. In the absence of such activities the impact of the irrigation project might  not be clearly visible. The lack of integration of agricultural development activities with the Project  had some dormant effect on the real impact of the Project. It is rather unfortunate that despite huge  investment in the development of irrigation infrastructure, improved farming systems are still absent  in Rajapur.",Functional linkage of subcomponents in project design
"Encroachment within the project's road right-of-way has reached serious proportions,  and countermeasures are urgently needed. An innovative approach was pilot-tested on contract  6 of the road improvement component. There a combination of bus lanes and grade-separation  was used at Chiringa Market to keep traders off the road and prevent buses from stopping on  the carriageway. This appears to be working very well, and is recommended for adoption in  similar circumstances on future ADB-assisted projects.",An innovative approach on the bus transport
"Policy matters and institutional issues pertaining to road sector revenues, costs of  operating and maintaining assets, adequacy of user charges to meet these costs, the role of the  private sector, and the need for new mechanisms to enhance cost recovery, etc. should be  addressed more effectively.",Institutional capacity and private sector participation
"In comparison with previous urban loans, the project increased coverage to more cities.  The uneven capacities in three areas were reflected through the funds allocated to the areas and  the capacity building program designed under the project. Dagana was an area that ADB had not  previously supported and it is also where there were some quality issues in the infrastructure built.  Capacity could not be built as envisioned because of changes in government policy related to the  funding of training. This could have been better bridged by increased consulting services;  however, toward the end of the project, there was also increased focus on optimizing consulting  services in donor-funded projects, which made it difficult to increase allocations to Dagana. While  the slope stability study for Dagana was delayed because of the challenges of working in a difficult  terrain, the delay could have been better managed by stronger supervision (para. 26). 34 For example, there is a need to further strengthen capacity in accounting and financial management, preparing bid",Alignment of government policy for capacity building
"the project design took a holistic approach by supporting policy, capacity development, and training delivery through coordinated stakeholder participations facilitated by a network of ngos. the project design was ambitious, with nine outcome (or purpose) performance indicators and 31 output performance indicators. more specifically, the project design included establishing an nfe policy framework and implementation action plan; recruiting 210 ngos and 29 monitoring partner agencies (mopas); conducting 60 curriculum development workshops; producing 16,800 teacher manuals; training 210 master trainers and 16,800 facilitators; training 1.68 million learners, among whom 90% should be employed or self-employed and 60% of female learners should increase control of their own earnings and investment decisions. the project design also included consultant support for the project administration, for which a consulting firm was recruited in 2003.","complex project designs can breed implementation difficulties, create inefficiencies, and increase fiduciary risks."
"however, the project design was complex and ambitious. the initial design envisaged to engage 210 implementing ngos and 29 mopas under a unified framework. though innovative, it was difficult to achieve given the weak capacity of small ngos and high fiduciary risks. achieving the overall intended project outcomes required an executing agency with strong implementation capacity, but this became unavailable due to the discontinuation and re-establishment of executing agency. the project undertook a major scope change, which reduced the number of implementing ngos to 29 and the number of mopas to 6 but kept most of output performance indicators unchanged. although the project reformulation improved project relevance, it was inadequate. the project implementation remained slow due to lengthy recruitment of ngos. due to weak project design, the project outputs were insufficient to achieve some key outcome performance indicators, especially the employability of learners.","complex project designs can breed implementation difficulties, create inefficiencies, and increase fiduciary risks."
"however, the government decided to discontinue the dnfe without the alternative executing agency in place, leading to a loan suspension of more than 2 years and cancellation of $10 million dfid grant. the newly established bnfe was weak on financial management at the beginning and slow in liquidating the imprest account. substantial audit findings also point to weak financial management. although the project was physically completed in june 2013, liquidation could not be completed until june 2017, 4 years after the project’s physical completion. there also remain one audit finding to be settled.",consistent dialogue and close communication and coordination among stakeholders enhance project implementation.
"the project was cofinanced by dfid and sdc, and their performance was satisfactory. initially, dfid was the only cofinancier and provided a grant of $12 million. even with the discontinuation of dnfe, dfid joined the efforts of the development partners and assisted the government in developing the nfe policy framework and implementation action plan by participating in the consultation process and providing comments on the drafts. although it reduced the grant to $2 million in 2006 due to the implementation delay caused by the loan suspension and dfid’s other financial commitments, dfid opposed the idea of the loan cancellation, supported the project, and contributed to the reformulation of the project and resumption of the loan and grant.",consistent dialogue and close communication and coordination among stakeholders enhance project implementation.
"the project is rated less than successful. the project design is rated less than relevant. although it is relevant to the government’s development strategy and adb’s country operational strategies at appraisal and completion, the design was ambitious at appraisal. a major change in scope was made but it was inadequate for achieving the intended outcomes within extended implementation period. the project is rated less than effective in achieving the outputs and outcome. it developed the nfe policy framework that led to enactment of the nfe act; established 7,147 training centers; and met 75% of the training targets. on the other hand, the employment rate for graduates was only about 39%, far below the expected 90%. the project is rated less than efficient in utilizing the resources. the recalculated eirr is 26.0%, higher than the threshold discount rate of 12% but less than the eirr at appraisal. due to the loan suspension and lengthy recruitment process, the project was implemented over more than 11 years, which was excessively long. the project is rated likely sustainable given the adoption of nfe policy framework and nfe act which guarantee the continued pursuit of nfe, as well as the launching of the government’s tk4.5 billion 5-year basic literacy program.",consistent dialogue and close communication and coordination among stakeholders enhance project implementation.
,consistent dialogue and close communication and coordination among stakeholders enhance project implementation.
"recruitment of consulting services from firms followed adb’s quality-based selection, quality- and cost-based selection, fixed budget selection, and single-source selection methods. except for selection of the pas consultant (for which adb did the shortlisting and technical and financial evaluation, and which took about 8 months), the selection of other firms or ngos generally took 1–3 years. a major challenge was the evaluation of expressions of interest and shortlisting, as a large number of expressions of interest were received. for example, during selection of ngos for phase 2 training program implementation, over 300 expressions of interest were received. another challenge was the quality of technical reports due to lack of experience and capacity of ngos. no technical reports were approved the first time they were submitted. the consultant selection chronology is included in appendix 5.",streamlining qualification criteria and recruitment procedures to ensure high-quality services promotes the timely implementation of projects.
"however, the project design was complex and ambitious. the initial design envisaged to engage 210 implementing ngos and 29 mopas under a unified framework. though innovative, it was difficult to achieve given the weak capacity of small ngos and high fiduciary risks. achieving the overall intended project outcomes required an executing agency with strong implementation capacity, but this became unavailable due to the discontinuation and re-establishment of executing agency. the project undertook a major scope change, which reduced the number of implementing ngos to 29 and the number of mopas to 6 but kept most of output performance indicators unchanged. although the project reformulation improved project relevance, it was inadequate. the project implementation remained slow due to lengthy recruitment of ngos. due to weak project design, the project outputs were insufficient to achieve some key outcome performance indicators, especially the employability of learners.",streamlining qualification criteria and recruitment procedures to ensure high-quality services promotes the timely implementation of projects.
,streamlining qualification criteria and recruitment procedures to ensure high-quality services promotes the timely implementation of projects.
"adb has established a long-term partnership with mp with a sector development program (para 5, footnote 8) that was launched in 2001, and followed by the mff. closely integrating with other ongoing and national and state supported programs in the sector, the mff has resulted in a number of key improvements that have modernized the electrical power sector in mp, in terms of physical infrastructure for power transmission and distribution, as well as associated policy and institutional framework. another mff facilitating separation of agricultural and household feeders (loans 2764 and 2830, footnote 31) and a project loan for complementing capacity of transmission and distribution system (loan 3066)35 have also been provided to consolidate the reforms and support further investments to strengthen transmission and distribution systems including the new agenda of separating agriculture and rural feeder lines for higher efficiency and further responding to the increasing power demand. moving forward, the state is discussing further partnerships with adb including possible support for a private sector loan. this demonstrates mp eas’ institutional maturity to proceed to capital market borrowing to meet their development needs.",the multitranche financing facility (mff) modality provides client governments with a flexible but guaranteed mechanism to meet their long-term financing needs.  
"the facility availability period in framework financing agreement is from 20 february 2007 to 31 december 2014. with respect to project 6, the related adb loan agreement states that loan closing date shall be 30 june 2014, or such other date as may from time to time be agreed. the project 6 closing date was extended once at the request of the discoms and endorsed by the government and adb, from 30 june 2014 to 31 december 2014. this 6-month extension was typical for the project. the design-build basis of icb procurement packages was one of the reasons for the longer than estimated implementation period. this required the contractors to finalize the preliminary designs through technical optimization to confirm the length of new and upgraded lines and revise the equipment requirements. only after that, could the various equipment and materials be ordered. the delivery time was, therefore, up to 18 months later than estimated when the facility/project schedules were developed. delays also resulted from the termination of a number of icb contracts due to the poor performance of the contractors, mostly due to grabbing multiple contracts beyond their capacity, which necessitated the discoms to complete the remaining works. however, the lack of completion by some contractors did not have any negative impact on the eventual quality of the completed works (outputs) and, in fact, saved on costs as the discoms own forces completed the works. the chronological listing of the facility and project events are in appendixes 8 and 9.",procurement and delivery of international competitive bidding (icb) packages in design–build turnkey contracts can take long.
"transco and the discoms took advance action to prepare the icb bids and the first icb contracts were awarded in june 2011 with the last contracts in project 6 awarded by september 2014. the turnkey contracts were designed to have the contractor complete specified circuit kilometers or quantities of works, whereby the contractors would supply all equipment and materials and installation, adjusted as required to match actual ground conditions. payment was based on successful progressive completion of the designated works. adb supported project implementation through expeditious procurement approvals, enabled by regular review missions and day to day support from the india resident mission to ensure adb’s requirements were met. procurement of all contracts for turnkey equipment and installation contracts was through icb procedures in accordance with adb’s procurement guidelines (2006 as amended from time to time).",procurement and delivery of international competitive bidding (icb) packages in design–build turnkey contracts can take long.
"in the first 2 years of implementation of projects 1 and 2 (2007–2009), there was a delay in the reporting of the environmental aspects of the facility as transco and the discoms were not fully cognizant of adb’s requirements. these were noted in a review mission in october 2010, which included a major review of safeguard issues. subsequently, the discoms recruited environmental consultants to provide updating, overview, and monitoring of the environmental management and monitoring plans. preparation of quarterly and annual reports on the implementation of environmental management plans and related monitoring reports were submitted to adb and issues addressed. however, the major turnkey contracts on a design-build basis under these early projects did not do any field works until later in 2008 as it took 12–18 months for the process to be completed (para. 22). hence, few safeguards aspects were monitored during this period. there was a minor encroachment on a forest area under projects 1 and 3 with transco and approvals were obtained. there was little impact as it mostly involved the clearing of the existing rows, which had overgrown since construction in 1980. no complaints were received from the public regarding the environmental, social, or resettlement aspects of the facility for any of the six projects and there were no reported safety issues.26 the related semi-annual and annual reports were posted on adb’s website.",procurement and delivery of international competitive bidding (icb) packages in design–build turnkey contracts can take long.
,procurement and delivery of international competitive bidding (icb) packages in design–build turnkey contracts can take long.
"the investment program was relevant given the strong government priority to have a productive and clean river water management in one of the strategic river in the country. the modality was appropriate as it provided a long term commitment for financing the iwrm roadmap. however, the mff approach was hampered by the lack of project readiness for the subsequent tranches. this resulted in cancellation of the subsequent tranches. the pfr1 is rated relevant. they directly supported national development priorities. they were in line with adb’s country strategy, and supported the government development objectives and operationalization of the water law and the iwrm agenda. the iwrm road map also supported the national planning for iwrm. the minor changes made during implementation enhanced the likelihood of achieving project outputs, outcomes, and impacts.",the design of integrated water resources management (iwrm) investments should be simple. 
